Sample,OC,N,CN,alkyl,N-alkyl,O-alkyl,di-O-alkyl,aryl,O-aryl,carbonyl,ketone,
C_001,35.08258544,2.34,15.2008547,12.1,6.6,43.9,10.4,12.5,5.3,8.0,1.3,
C_002,29.78577264,1.67,18.40718563,8.7,6.1,49.9,11.7,11.6,5.2,5.9,1.0,
C_003,10.63095193,1.06,11.8490566,15.5,7.3,27.9,6.7,19.7,8.6,11.8,2.5,
C_004,30.94944589,4.22,7.390995261,13.1,6.2,41.7,9.1,13.1,6.4,9.3,1.1,
C_005,26.73351515,5,5.368,29.8,11.2,25.0,5.0,9.2,3.2,16.1,0.6,
C_006,14.16873774,1.47,9.952380952,17.2,7.9,28.4,6.9,18.6,8.3,10.5,2.1,
C_007,40.14617272,1.11,36.28828829,12.0,5.6,45.9,11.1,11.4,5.4,7.2,1.4,
C_008,19.684704,1.64,12.51219512,14.8,7.2,37.2,8.8,15.3,6.1,9.1,1.6,
C_009,43.43005694,0.47,92.80851064,5.7,7.3,51.3,10.7,14.5,5.9,3.4,1.0,
C_010,35.00383403,0.82,43.46341463,4.4,6.2,49.5,10.6,16.4,6.8,4.6,1.5,
C_011,20.81,1.5,13.87333333,9.2,6.2,38.7,9.4,18.4,8.0,7.9,2.3,
C_012,21.47705452,1.55,13.90322581,10.0,6.2,37.0,9.1,18.7,8.3,8.5,2.1,
C_013,20.6544741,1.44,14.38888889,9.3,6.3,36.7,8.9,18.8,8.5,9.2,2.4,
C_014,20.4229796,1.21,16.95041322,11.1,6.9,36.4,9.0,17.8,7.8,9.0,2.0,
C_015,23.30776468,1.7,13.77058824,13.8,7.4,30.8,7.6,18.8,8.0,10.9,2.7,
C_016,24.95726005,1.58,15.88607595,14.5,6.8,28.4,7.1,20.2,9.0,11.4,2.7,
C_017,26.00987053,1.59,16.44654088,11.6,6.4,31.6,8.2,20.7,9.4,9.5,2.7,
C_018,28.84111119,1.37,21.27007299,14.4,5.1,42.3,9.4,14.6,5.0,7.8,1.5,
C_019,27.97165939,1.4,20.2,12.7,5.3,41.0,9.4,15.5,5.4,8.7,2.0,
C_020,27.15414472,1.44,19.09027778,12.8,5.0,39.8,9.2,16.2,5.7,9.3,1.9,
C_021,25.74125988,1.38,18.97101449,11.6,5.0,41.8,9.7,15.4,5.6,8.9,1.9,
C_022,24.21873676,1.37,18.06569343,11.2,4.7,41.6,9.7,16.3,6.1,8.4,1.9,
C_023,26.61745601,1.92,14.03125,15.4,5.8,35.8,8.5,15.8,6.3,10.4,2.0,
C_024,24.39991547,1.8,13.75555556,13.8,5.6,33.1,8.2,17.7,7.5,11.3,2.9,
C_025,25.04165763,2.05,12.41463415,14.5,6.0,36.3,8.7,15.9,6.1,10.4,2.1,
C_026,24.98793553,1.99,12.77386935,13.2,5.8,37.0,8.7,17.6,6.3,9.4,2.1,
C_027,23.49986668,2.12,11.31603774,12.9,5.7,33.3,8.3,18.5,7.8,11.1,2.4,
C_028,28.60476291,1.13,25.37168142,9.2,6.3,40.5,10.2,15.9,8.0,7.8,2.1,
C_029,26.48399583,1.14,23.30701754,11.0,7.0,38.7,9.6,16.1,7.6,8.0,2.0,
C_030,25.54978984,1.09,23.51376147,7.9,6.2,40.0,10.1,16.8,8.2,8.4,2.4,
C_031,24.09550662,1.17,20.69230769,9.6,6.5,38.5,9.7,17.1,7.9,8.5,2.2,
C_032,7.591881298,0.87,9.367816092,19.2,8.9,29.0,6.5,16.5,7.6,10.9,1.5,
C_033,7.059148697,0.8,9.5125,15.2,7.7,25.1,6.7,20.5,9.1,12.8,2.9,
C_034,7.277979104,0.82,9.512195122,15.6,7.9,27.2,6.6,20.2,8.5,11.6,2.2,
C_035,17.84,1.33,13.41353383,11.5,7.1,34.0,8.6,18.2,8.9,9.2,2.5,
C_036,19.27,1.07,18.00934579,6.6,6.4,43.2,10.9,14.8,8.4,7.5,2.3,
